,RA,Dec,Grade
0,178.836092,1.51097,A
1,33.299225,-27.546033,A
2,25.830967,-32.320705,A
3,191.21402,1.111979,A
4,171.908916,3.871097,A
5,186.233403,0.846681,A
6,133.439142,2.469078,A
7,352.417763,-34.156397,A
8,350.210421,-28.395738,A
9,160.597316,0.255916,A
10,180.287444,2.664622,A
11,215.008696,1.657015,A
12,197.638404,-0.661773,B
13,229.401543,-1.823155,B
14,13.662744,-28.075557,B
15,208.799329,-3.925765,B
16,348.17628,-33.38848,B
17,225.281707,-1.63706,B
18,192.260779,1.375546,B
19,339.540273,-29.528896,B
20,173.903416,1.439884,B
21,204.457868,-0.044987,B
22,129.65835,0.386353,B
23,22.969236,-32.210499,B
24,217.26746,0.639211,B
25,12.840297,-28.529043,B
26,351.704734,-31.89681,B
27,170.265865,2.560294,B
28,204.811569,-1.80031,B
29,345.593891,-29.401898,B
30,213.115166,-3.759955,B
31,350.515747,-32.263967,B
32,216.576537,-2.039091,B
33,40.696715,-30.913117,B
34,193.269477,0.75515,B
35,222.653759,-2.722281,B
36,217.987719,2.580916,B
37,211.488223,3.565772,B
38,235.845043,-1.809462,B
39,22.776729,-28.990313,B
40,165.73351,1.210589,B
41,336.764494,-31.767083,B
42,45.57221,-27.537544,B
43,343.351661,-31.307017,B
44,331.332531,-29.067685,B
45,216.84226,-2.661125,B
46,352.76543,-30.872044,B
47,213.670198,-1.782007,B
48,332.84622,-30.246411,B
49,211.878614,-1.938314,B
50,199.462773,3.386316,B
51,180.506836,2.799297,B
52,233.35604,1.412015,B
53,220.13361,-3.079112,B
54,34.465216,-31.047753,B
55,160.240451,-0.022578,B
56,350.937,-29.272142,B
57,171.493666,3.215041,B
58,21.239494,-31.336132,B
59,30.944483,-31.111178,B
60,352.773074,-34.104401,B
61,133.374165,0.703804,B
62,40.395452,-34.053133,B
63,352.071426,-29.981815,B
64,130.294625,-1.735933,B
65,337.106255,-32.046639,B
66,331.513649,-28.210828,B
67,218.848875,-3.411848,B
68,336.982595,-35.215123,B
69,162.72335,-0.09218,B
70,212.77654,2.937608,C
71,223.517921,1.962769,C
72,204.97481,-1.246276,C
73,183.608358,-3.387352,C
74,231.044645,1.662869,C
75,205.791267,3.230227,C
76,200.100068,-1.861212,C
77,336.581445,-30.734824,C
78,194.821912,-0.056346,C
79,351.491144,-31.158399,C
80,17.869333,-33.87649,C
81,344.794782,-28.126074,C
82,348.296725,-29.454066,C
83,201.161036,-1.421798,C
84,213.234497,2.492052,C
85,338.693731,-29.070174,C
86,183.8043,-1.412859,C
87,197.619668,-0.885399,C
88,180.416154,-0.207288,C
89,234.929742,1.954488,C
90,204.761845,-1.128521,C
91,230.698794,-1.094973,C
92,353.763093,-32.525601,C
93,231.732248,0.319072,C
94,17.485694,-27.076628,C
95,14.941736,-35.263649,C
96,23.206987,-32.203464,C
97,23.489357,-31.555265,C
98,13.539033,-28.487974,C
99,214.596201,2.302298,C
100,166.210076,1.776882,C
101,50.733151,-27.479235,C
102,159.951924,-0.855769,C
103,223.62786,1.024648,C
104,212.225082,-1.62592,C
105,166.582585,-3.623748,C
106,214.595423,-2.024173,C
107,231.264545,-1.838869,C
108,22.271823,-35.571723,C
109,234.511655,1.312177,C
110,11.787755,-34.334842,C
111,15.376515,-27.314422,C
112,149.732552,1.952805,C
113,358.216837,-35.404795,C
114,202.142312,-0.816677,C
115,214.138327,2.347719,C
116,340.21141,-32.956571,C
117,160.768965,-3.737887,C
118,12.565705,-27.167151,C
119,220.538024,0.453498,C
120,214.414352,0.469126,C
121,11.985828,-33.910963,C
122,199.891955,-1.357845,C
123,11.618009,-31.289666,C
124,198.45645,-0.150951,C
125,210.851026,1.913243,C
126,351.704734,-31.89681,C
127,223.284235,0.046758,C
128,342.580544,-31.009536,C
129,349.974233,-34.029672,C
130,216.123612,1.018698,C
131,222.163806,1.586947,C
132,207.097709,0.014301,C
133,235.102098,1.175704,C
134,161.395286,0.848618,C
135,11.102275,-27.564681,C
136,199.127525,-3.289356,C
137,219.624441,-3.298697,C
138,201.051678,-3.336909,C
139,235.19063,-0.670324,C
140,219.002322,-3.914934,C
141,34.612288,-31.634009,C
142,218.703789,3.59869,C
143,342.568861,-35.210501,C
144,170.919512,-2.946602,C
145,161.012769,3.488929,C
146,12.936092,-34.384079,C
147,214.67974,0.870356,C
148,23.233274,-34.637183,C
149,193.958303,-3.94999,C
150,348.825277,-34.884289,C
151,164.016129,-2.362654,C
152,355.718619,-32.23866,C
153,172.494007,2.851801,C
154,206.464139,-3.587562,C
155,206.967644,-1.51889,C
156,197.052875,2.202977,C
157,236.042631,-1.630292,C
158,346.56041,-34.399851,C
159,38.832745,-29.164835,C
160,193.855165,-0.286534,C
161,214.098359,-1.459216,C
162,34.914667,-27.714157,C
163,335.112648,-33.209772,C
164,230.132516,2.039374,C
165,17.515086,-29.68323,C
166,217.052678,0.784656,C
167,218.199301,3.04506,C
168,231.161299,-1.291235,C
169,219.929615,0.729146,C
170,208.944987,-1.03922,C
171,191.037056,-0.123744,C
172,225.326811,-1.61015,C
173,171.647131,-1.293853,C
174,172.529303,3.865395,C
175,15.887346,-31.807367,C
176,353.476626,-28.067008,C
177,28.5368,-33.724109,C
178,202.75478,0.688102,C
179,196.394153,-0.972592,C
180,13.352208,-30.381664,C
181,203.14348,-2.013408,C
182,342.372583,-27.922722,C
183,17.639538,-34.327422,C
184,197.267401,-0.81419,C
185,214.178993,1.690899,C
186,208.765685,2.329821,C
187,205.621786,0.361887,C
188,24.040003,-31.157705,C
189,27.508805,-35.188601,C
190,191.096168,0.752288,C
191,204.487031,2.580602,C
192,9.382158,-34.542487,C
193,234.73655,0.652445,C
194,212.516281,2.547607,C
195,204.502284,1.356785,C
196,141.224877,2.236183,C
197,195.337663,0.215415,C
198,24.971014,-32.987247,C
199,163.021557,-2.042892,C
200,206.98117,2.057579,C
201,214.593713,-0.403914,C
202,40.409943,-34.229246,C
203,178.180943,0.894127,C
204,352.518954,-34.903816,C
205,194.421267,-1.112101,C
206,348.39847,-34.182005,C
207,172.516647,2.84664,C
208,14.823232,-34.781503,C
209,171.502139,2.162216,C
210,184.521291,-0.762009,C
211,45.322786,-28.516548,C
212,164.986354,2.984432,C
213,212.916663,-3.358919,C
214,350.757435,-29.287915,C
215,209.428476,-1.091064,C
216,199.97324,-0.129794,C
217,13.781062,-26.991829,C
218,356.250075,-30.836176,C
219,10.665662,-29.451144,C
220,199.99364,-0.779337,C
221,170.452362,2.681111,C
222,177.726152,2.967288,C
223,197.897718,-0.212572,C
224,214.823427,-1.530374,C
225,207.696144,3.493384,C
226,350.635173,-28.739678,C
227,169.975889,3.608448,C
228,130.836471,-0.521614,C
229,337.765944,-28.747273,C
230,194.504258,3.807655,C
231,195.02023,1.747379,C
232,13.877687,-29.016001,C
233,206.795805,2.275868,C
234,9.450272,-29.257397,C
235,16.707463,-29.286721,C
236,332.809966,-31.477605,C
237,11.095405,-34.287839,C
238,344.946964,-32.203597,C
239,206.552024,0.288917,C
240,22.971429,-32.613563,C
241,29.01404,-32.06432,C
242,43.349173,-29.638772,C
243,166.239449,-1.095976,C
244,343.508138,-28.330065,C
245,346.761483,-34.49377,C
246,217.421698,0.163401,C
247,194.467968,-0.778924,C
248,335.144761,-32.74483,C
249,27.900088,-32.581491,C
250,128.898232,-1.517355,C
251,335.218568,-30.078135,C
252,339.562043,-31.526954,C
253,230.513401,-1.701102,C
254,204.989346,-3.794612,C
255,184.628962,-0.182654,C
256,13.575094,-28.792407,C
257,211.094794,2.715141,C
258,228.742282,0.678732,C
259,205.615899,-0.619266,C
260,338.604969,-29.849603,C
261,219.215755,0.650752,C
262,176.66046,3.946389,C
263,218.506275,-3.907212,C
264,352.071426,-29.981815,C
265,344.079665,-29.074519,C
266,212.752072,3.135015,C
267,178.884495,3.595826,C
268,208.034928,2.030166,C
